,City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
480,latung,ID,-8.45,120.42,70.79,94,8,2.73
481,saint-pie,CA,45.5,-72.91,84.15,48,1,8.05
482,nioki,CD,-2.72,17.69,80.15,78,12,3.29
483,ucluelet,CA,48.94,-125.55,55.4,82,40,6.93
484,laguna de perlas,NI,12.34,-83.67,87.8,70,40,4.7
485,marzuq,YE,14.4,46.47,69.53,43,0,3.62
486,miri,NG,10.31,9.75,77.09,71,8,2.39
487,machico,PT,32.7,-16.77,72.37,64,40,11.41
488,barkhan,PK,29.9,69.52,59.99,87,0,2.95
489,wenzhou,CN,28.02,120.66,75.02,100,92,0.72
490,berdigestyakh,RU,62.1,126.7,38.93,73,48,6.08
491,arinos,BR,-15.92,-46.11,90.5,42,56,3.51
492,jumla,NP,29.28,82.18,35.15,88,0,2.73
493,oussouye,SN,12.49,-16.54,86,74,20,6.93
494,hobyo,SO,5.35,48.53,76.55,85,8,20.29
495,imbituva,BR,-25.23,-50.6,62.87,99,92,8.88
496,louisbourg,,,,,,,
497,taburi,,,,,,,
498,bur gabo,,,,,,,
499,jamkhed,IN,18.74,75.31,69.71,94,64,7.65
500,santa rosa,AR,-36.62,-64.29,78.08,54,0,2.95
501,vestmannaeyjar,IS,63.44,-20.27,50,81,20,9.17
502,golden gate,US,38.36,-88.2,87.17,53,40,6.64
503,buala,SB,-8.15,159.59,77.63,100,20,4.18
504,dubbo,AU,-32.25,148.6,44.6,70,0,6.93
505,gourcy,BF,13.21,-2.36,84.02,67,32,4.74
506,alice springs,AU,-23.7,133.88,68,10,76,2.24
507,erzincan,TR,39.75,39.49,68,45,40,17.22
508,nhulunbuy,AU,-12.18,136.78,68,94,0,5.41
509,san jeronimo,PE,-13.65,-73.37,62.6,36,24,2.51
510,grand gaube,MU,-20.01,57.66,73.4,78,40,6.93
511,verkhnevilyuysk,RU,63.45,120.31,39.2,75,36,6.08
512,clarksburg,US,39.28,-80.34,78.4,100,90,6.93
513,taoudenni,ML,22.68,-3.98,93.65,34,92,7.65
514,adrar,DZ,27.87,-0.29,94.91,18,88,2.51
515,rapar,IN,23.57,70.65,82.94,59,20,11.23
516,ust-tsilma,RU,65.44,52.15,47.39,100,92,10.45
517,nelson bay,AU,-32.72,152.14,46.4,81,0,4.7
518,pandan,PH,11.72,122.09,81.23,100,32,12.8
519,tambacounda,SN,13.77,-13.67,91.4,76,0,2.73
520,sulangan,PH,11.14,123.72,83.12,100,80,14.7
521,zheleznodorozhnyy,RU,55.75,38,51.35,62,0,4.47
522,ust-kuyga,RU,70,135.55,36.41,98,92,10.45
523,bilibino,RU,68.06,166.44,33.17,95,48,2.39
524,roald,NO,62.58,6.12,52.34,81,75,9.17
525,craig,US,40.52,-107.55,77.85,24,20,9.17
526,kilindoni,TZ,-7.91,39.67,77.81,100,0,11.45
527,mount pleasant,US,33.16,-94.97,90.97,42,1,6.93
528,bonthe,SL,7.53,-12.5,78.98,89,32,3.29
529,pastavy,BY,55.11,26.84,61.7,58,24,16.6
530,mitsamiouli,KM,-11.38,43.28,73.4,83,20,3.36
531,leshukonskoye,RU,64.9,45.76,48.11,85,80,8.21
532,omboue,GA,-1.57,9.26,77,100,56,12.46
533,belo oriente,BR,-19.22,-42.48,79.88,68,88,6.42
534,vazhiny,RU,60.96,34.04,49.73,97,92,13.69
535,ijaki,,,,,,,
536,san cristobal,EC,-0.39,-78.55,66.2,52,75,9.17
537,dahra,DZ,36.25,0.85,77,65,75,8.05
538,nanortalik,GL,60.14,-45.24,38.21,100,76,17.05
539,ardmore,US,34.99,-86.85,85.15,60,75,5.82
540,namie,JP,37.52,140.86,65.48,100,76,4.18
541,coihaique,CL,-45.58,-72.07,52.57,54,75,10.29
542,tongliao,CN,43.61,122.27,60.08,57,80,12.12
543,kailua,US,21.39,-157.74,76.93,79,90,11.41
544,iberia,PE,-11.41,-69.49,95.36,41,20,4.52
545,melfi,IT,41,15.66,69.08,73,80,1.83
546,lugovoy,RU,59.72,65.88,51.53,74,24,12.68
547,rio grande,BR,-32.03,-52.1,68,94,90,12.75
548,alyangula,AU,-13.85,136.42,72.95,100,0,5.3
549,tagusao,PH,9.19,117.81,78.53,98,36,3.85
550,port blair,IN,11.67,92.75,81.05,100,76,30.47
551,aiquile,BO,-18.2,-65.18,68.18,59,0,3.96
552,leh,IN,34.16,77.58,15.26,84,0,2.17
553,sinkat,,,,,,,
554,lagoa,PT,37.14,-8.45,77,78,20,9.17
555,renala khurd,PK,30.88,73.6,77,85,0,2.95
556,tutoia,BR,-2.76,-42.27,89.6,49,0,20.8
557,harper,US,30.3,-99.24,82.94,60,90,8.05
558,yuncheng,CN,35.03,111,63.41,99,88,2.84
559,sambava,MG,-14.27,50.17,73.13,100,76,18.72
560,viligili,,,,,,,
561,yaan,NG,7.38,8.57,81.86,81,44,3.96
562,desaguadero,PE,-16.56,-69.04,56.3,41,0,5.86
563,cananeia,BR,-25.01,-47.93,67.37,99,92,4.63
564,lachi,PK,33.38,71.34,63.59,77,0,2.28
565,okandja,,,,,,,
566,walvis bay,NA,-22.95,14.51,59.18,99,0,16.93
567,senneterre,CA,48.39,-77.24,78.8,57,75,14.99
568,malakal,,,,,,,
569,bozuyuk,TR,39.91,30.04,64.99,68,0,9.17
570,nadym,RU,65.53,72.51,40.91,91,64,11.23
571,kastamonu,TR,41.38,33.78,56.3,85,80,2.39
572,suratgarh,IN,29.32,73.9,76.73,83,0,2.84
573,verkhoyansk,RU,67.55,133.39,33.26,90,92,6.08
574,steamboat springs,US,40.48,-106.83,76.21,28,1,3.18
575,mys shmidta,,,,,,,
576,tunduru,,,,,,,
577,leku,ET,6.87,38.44,56.66,96,20,2.73
578,darab,IR,28.75,54.55,60.17,33,0,1.61
579,kedrovyy,RU,56.17,91.82,39.2,93,40,4.47
580,la ronge,CA,55.1,-105.3,37.4,93,90,11.41
581,lhokseumawe,ID,5.18,97.15,81.32,100,92,6.2
582,galle,US,29.74,-97.91,86.52,63,1,5.82
583,bama,CN,24.14,107.25,71.6,99,92,7.65
584,novyy urengoy,RU,66.08,76.63,38.12,80,64,6.42
585,malpura,IN,26.29,75.37,72.59,83,0,3.18
586,karakendzha,,,,,,,
587,goya,AR,-29.14,-59.27,75.92,61,0,6.98
588,lianzhou,CN,24.79,112.38,71.96,99,100,2.51
589,mnogovershinnyy,RU,53.94,139.92,42.08,99,88,2.51
590,yagodnoye,RU,62.52,149.63,23.63,81,0,2.06
